product_code,item_category_id,category,n_obs,n_stores,n_weeks,total_units,total_revenue,unique_prices,mean_price,std_price,median_units,max_units,return_units,promo_ref_rows,promo_rate,price_cv,coverage_rate,promo_ref_coverage,return_rate
10029,58,Музыка - Винил,32,14,27,32.0,58068.0,2,1814.625,48.25587,1.0,1.0,0.0,4,0.0,0.02659275,0.021917808219178082,0.125,0.0
1003,67,Подарки - Развитие,166,19,57,204.0,19086.0,2,93.03615,12.009033,1.0,7.0,0.0,96,0.3333333333333333,0.12907922,0.1136986301369863,0.5783132530120482,0.0
10030,59,Музыка - Музыкальное видео,18,6,16,22.0,2741.0,4,137.16667,77.41884,1.0,2.0,0.0,2,1.0,0.5644144,0.012328767123287671,0.1111111111111111,0.0
10031,59,Музыка - Музыкальное видео,29,10,24,29.0,5908.0,2,203.72414,51.118137,1.0,1.0,0.0,5,1.0,0.25091842,0.01986301369863014,0.1724137931034483,0.0
10033,55,Музыка - CD локального производства,94,20,51,95.0,18895.05,2,198.89415,1.0262638,1.0,2.0,0.0,34,0.0,0.0051598493,0.06438356164383562,0.3617021276595745,0.0
10034,59,Музыка - Музыкальное видео,36,11,31,36.0,6843.0,2,190.08333,50.5,1.0,1.0,0.0,14,1.0,0.26567295,0.024657534246575342,0.3888888888888889,0.0
10035,40,Кино - DVD,10,8,9,10.0,1990.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.00684931506849315,0.0,0.0
10036,37,Кино - Blu-Ray,2,2,2,2.0,998.0,1,499.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10038,40,Кино - DVD,11,8,11,11.0,1639.0,1,149.0,0.0,1.0,1.0,0.0,0,,0.0,0.007534246575342466,0.0,0.0
10039,37,Кино - Blu-Ray,45,17,26,46.0,12353.9,3,270.1089,45.835346,1.0,2.0,0.0,4,0.75,0.16969211,0.030821917808219176,0.08888888888888889,0.0
1004,67,Подарки - Развитие,208,18,63,286.0,26724.0,2,94.09615,11.120351,1.0,11.0,0.0,136,0.25,0.118180715,0.14246575342465753,0.6538461538461539,0.0
10040,40,Кино - DVD,3,3,3,3.0,345.0,2,115.0,29.444864,1.0,1.0,0.0,0,,0.2560423,0.002054794520547945,0.0,0.0
10041,40,Кино - DVD,22,11,17,22.0,4095.9,3,186.17726,41.487072,1.0,1.0,0.0,0,,0.2228364,0.015068493150684932,0.0,0.0
10047,40,Кино - DVD,16,9,12,18.0,5264.55,3,285.40936,111.23675,1.0,2.0,0.0,0,,0.38974455,0.010958904109589041,0.0,0.0
10048,40,Кино - DVD,3,3,3,3.0,354.0,3,118.0,72.11102,1.0,1.0,0.0,0,,0.6111104,0.002054794520547945,0.0,0.0
10049,40,Кино - DVD,12,10,11,12.0,4485.0,2,373.75,45.67897,1.0,1.0,0.0,0,,0.12221798,0.00821917808219178,0.0,0.0
1005,67,Подарки - Развитие,112,18,55,150.0,13680.0,2,90.96429,13.344992,1.0,11.0,0.0,48,0.4583333333333333,0.14670584,0.07671232876712329,0.42857142857142855,0.0
10050,37,Кино - Blu-Ray,2,2,2,2.0,1498.0,2,749.0,353.5534,1.0,1.0,0.0,0,,0.47203392,0.0013698630136986301,0.0,0.0
10051,40,Кино - DVD,330,20,73,389.0,57960.7,2,148.99908,0.016514625,1.0,5.0,0.0,251,0.0,0.00011083709,0.22602739726027396,0.7606060606060606,0.0
10056,40,Кино - DVD,49,15,31,49.0,7220.0,3,147.34694,8.375438,1.0,1.0,0.0,12,0.08333333333333333,0.05684161,0.03356164383561644,0.24489795918367346,0.0
10057,40,Кино - DVD,106,20,28,230.0,87825.05,5,366.05707,65.44972,1.0,14.0,0.0,33,0.45454545454545453,0.1787965,0.07260273972602739,0.3113207547169811,0.0
10058,38,Кино - Blu-Ray 3D,37,15,21,39.0,39861.0,2,1017.91895,135.06755,1.0,2.0,0.0,1,1.0,0.1326899,0.025342465753424658,0.02702702702702703,0.0
10059,37,Кино - Blu-Ray,52,18,21,67.0,34028.0,4,496.01923,99.43398,1.0,4.0,0.0,5,1.0,0.20046397,0.03561643835616438,0.09615384615384616,0.0
1006,67,Подарки - Развитие,86,19,34,96.0,38204.05,3,397.8378,8.866221,1.0,3.0,0.0,26,0.038461538461538464,0.02228602,0.0589041095890411,0.3023255813953488,0.0
10060,40,Кино - DVD,37,16,23,40.0,5959.9,2,148.9973,0.016440902,1.0,2.0,0.0,5,0.0,0.00011034362,0.025342465753424658,0.13513513513513514,0.0
10061,37,Кино - Blu-Ray,42,16,25,45.0,6705.0,1,149.0,0.0,1.0,2.0,0.0,5,0.0,0.0,0.028767123287671233,0.11904761904761904,0.0
10063,40,Кино - DVD,171,20,64,175.0,26074.9,2,148.99942,0.0076476578,1.0,2.0,0.0,98,0.0,5.1326762e-05,0.11712328767123288,0.5730994152046783,0.0
10064,37,Кино - Blu-Ray,138,20,59,143.0,42042.96,8,294.04318,19.850344,1.0,2.0,0.0,64,0.09375,0.06750826,0.09452054794520548,0.463768115942029,0.0
10065,40,Кино - DVD,5,4,5,5.0,643.0,2,128.6,27.933851,1.0,1.0,0.0,0,,0.217215,0.003424657534246575,0.0,0.0
10066,40,Кино - DVD,2,2,1,2.0,196.0,1,98.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10067,40,Кино - DVD,20,13,18,20.0,2838.0,3,141.9,22.796352,1.0,1.0,0.0,0,,0.16065083,0.0136986301369863,0.0,0.0
10068,37,Кино - Blu-Ray,144,20,44,156.0,20726.8,8,133.41388,22.631649,1.0,2.0,1.0,70,0.44285714285714284,0.1696349,0.09863013698630137,0.4861111111111111,0.006369426751592357
1007,67,Подарки - Развитие,506,20,70,825.0,454159.25,17,551.33527,70.23143,1.0,14.0,0.0,426,0.018779342723004695,0.12738425,0.34657534246575344,0.841897233201581,0.0
10076,40,Кино - DVD,15,6,15,15.0,1587.0,3,105.8,43.82954,1.0,1.0,0.0,0,,0.41426787,0.010273972602739725,0.0,0.0
10077,37,Кино - Blu-Ray,54,16,31,56.0,8160.46,6,145.6011,10.582541,1.0,2.0,0.0,10,0.2,0.07268174,0.036986301369863014,0.18518518518518517,0.0
10078,40,Кино - DVD,112,20,24,206.0,69294.0,2,325.7857,64.35003,1.0,9.0,0.0,36,0.3333333333333333,0.19752257,0.07671232876712329,0.32142857142857145,0.0
10079,37,Кино - Blu-Ray,39,17,12,42.0,16758.0,1,399.0,0.0,1.0,2.0,0.0,1,0.0,0.0,0.02671232876712329,0.02564102564102564,0.0
1008,67,Подарки - Развитие,76,19,41,85.0,25415.0,1,299.0,0.0,1.0,6.0,0.0,28,0.0,0.0,0.052054794520547946,0.3684210526315789,0.0
10080,40,Кино - DVD,11,7,8,11.0,3834.0,3,348.54544,59.668022,1.0,1.0,0.0,1,1.0,0.17119151,0.007534246575342466,0.09090909090909091,0.0
10081,37,Кино - Blu-Ray,29,11,22,29.0,11247.81,8,387.8555,324.03204,1.0,1.0,0.0,0,,0.8354453,0.01986301369863014,0.0,0.0
10082,40,Кино - DVD,13,7,9,13.0,1937.0,1,149.0,0.0,1.0,1.0,0.0,0,,0.0,0.008904109589041096,0.0,0.0
10084,37,Кино - Blu-Ray,41,15,27,42.0,6044.91,6,143.80269,12.263149,1.0,2.0,0.0,7,0.14285714285714285,0.08527761,0.028082191780821917,0.17073170731707318,0.0
10085,40,Кино - DVD,1,1,1,1.0,28.0,1,28.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10086,40,Кино - DVD,26,11,11,35.0,13965.0,1,399.0,0.0,1.0,2.0,0.0,1,0.0,0.0,0.01780821917808219,0.038461538461538464,0.0
10087,40,Кино - DVD,15,7,13,15.0,2235.0,1,149.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.010273972602739725,0.06666666666666667,0.0
10088,40,Кино - DVD,11,7,10,11.0,3686.0,2,335.0909,23.822067,1.0,1.0,0.0,0,,0.071091354,0.007534246575342466,0.0,0.0
10089,40,Кино - DVD,64,17,40,65.0,9685.0,1,149.0,0.0,1.0,2.0,0.0,24,0.0,0.0,0.043835616438356165,0.375,0.0
1009,67,Подарки - Развитие,56,16,33,58.0,17282.2,2,297.93213,7.9911118,1.0,2.0,0.0,13,0.0,0.02682192,0.038356164383561646,0.23214285714285715,0.0
10090,40,Кино - DVD,29,15,24,29.0,6721.0,2,231.75862,100.246,1.0,1.0,0.0,0,,0.43254486,0.01986301369863014,0.0,0.0
10091,37,Кино - Blu-Ray,7,7,7,7.0,3093.0,2,441.85715,97.590004,1.0,1.0,0.0,0,,0.22086325,0.004794520547945206,0.0,0.0
10092,40,Кино - DVD,51,16,30,52.0,7748.0,1,149.0,0.0,1.0,2.0,0.0,9,0.0,0.0,0.03493150684931507,0.17647058823529413,0.0
10095,40,Кино - DVD,43,17,26,44.0,5976.0,3,136.69768,26.250202,1.0,2.0,0.0,5,0.4,0.19203107,0.02945205479452055,0.11627906976744186,0.0
10096,40,Кино - DVD,40,17,29,42.0,12558.0,1,299.0,0.0,1.0,2.0,0.0,8,0.0,0.0,0.0273972602739726,0.2,0.0
10097,38,Кино - Blu-Ray 3D,164,20,58,174.0,124291.05,3,714.6405,23.641327,1.0,3.0,1.0,87,0.011494252873563218,0.033081427,0.11232876712328767,0.5304878048780488,0.005714285714285714
10098,38,Кино - Blu-Ray 3D,16,11,6,16.0,11984.0,1,749.0,0.0,1.0,1.0,0.0,0,,0.0,0.010958904109589041,0.0,0.0
10099,38,Кино - Blu-Ray 3D,9,8,6,9.0,6741.0,1,749.0,0.0,1.0,1.0,0.0,0,,0.0,0.0061643835616438354,0.0,0.0
1010,67,Подарки - Развитие,196,19,66,267.0,90710.45,5,351.9462,70.50342,1.0,15.0,0.0,125,0.8,0.20032442,0.13424657534246576,0.6377551020408163,0.0
10100,38,Кино - Blu-Ray 3D,3,2,3,3.0,2247.0,1,749.0,0.0,1.0,1.0,0.0,0,,0.0,0.002054794520547945,0.0,0.0
10101,38,Кино - Blu-Ray 3D,11,6,5,11.0,8239.0,1,749.0,0.0,1.0,1.0,0.0,0,,0.0,0.007534246575342466,0.0,0.0
10102,38,Кино - Blu-Ray 3D,1,1,1,1.0,749.0,1,749.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10104,40,Кино - DVD,6,4,3,8.0,3192.0,1,399.0,0.0,1.0,3.0,0.0,0,,0.0,0.00410958904109589,0.0,0.0
10105,40,Кино - DVD,23,12,10,28.0,11172.0,1,399.0,0.0,1.0,2.0,0.0,1,0.0,0.0,0.015753424657534248,0.043478260869565216,0.0
10106,40,Кино - DVD,64,19,10,91.0,36229.2,2,397.7531,9.974998,1.0,4.0,0.0,12,0.08333333333333333,0.025078367,0.043835616438356165,0.1875,0.0
10107,37,Кино - Blu-Ray,266,20,69,336.0,120655.56,28,371.59982,210.06049,1.0,4.0,1.0,186,0.8655913978494624,0.5652868,0.1821917808219178,0.6992481203007519,0.002967359050445104
10108,39,Кино - Blu-Ray 4K,40,13,22,44.0,26456.0,2,631.5,354.01544,1.0,3.0,0.0,9,0.8888888888888888,0.5605945,0.0273972602739726,0.225,0.0
10109,40,Кино - DVD,210,20,58,250.0,37220.2,2,148.8581,2.0563955,1.0,5.0,0.0,131,0.0,0.013814469,0.14383561643835616,0.6238095238095238,0.0
1011,67,Подарки - Развитие,28,10,25,28.0,8372.0,1,299.0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.019178082191780823,0.14285714285714285,0.0
10110,37,Кино - Blu-Ray,60,19,38,61.0,28376.24,11,464.62067,61.334846,1.0,2.0,0.0,10,0.5,0.13201058,0.0410958904109589,0.16666666666666666,0.0
10111,40,Кино - DVD,46,18,27,46.0,6854.0,1,149.0,0.0,1.0,1.0,0.0,8,0.0,0.0,0.031506849315068496,0.17391304347826086,0.0
10112,40,Кино - DVD,14,9,13,14.0,2266.0,2,161.85715,48.107025,1.0,1.0,0.0,0,,0.29721904,0.009589041095890411,0.0,0.0
10113,40,Кино - DVD,14,11,14,14.0,2488.0,5,177.71428,71.76074,1.0,1.0,0.0,0,,0.4037984,0.009589041095890411,0.0,0.0
10114,40,Кино - DVD,9,5,7,9.0,282.0,2,31.333334,10.0,1.0,1.0,0.0,0,,0.31914893,0.0061643835616438354,0.0,0.0
10117,40,Кино - DVD,1,1,1,1.0,28.0,1,28.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10119,40,Кино - DVD,6,4,6,6.0,518.0,3,86.333336,36.00926,1.0,1.0,0.0,0,,0.41709563,0.00410958904109589,0.0,0.0
1012,67,Подарки - Развитие,1,1,1,1.0,299.0,1,299.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10121,37,Кино - Blu-Ray,11,7,10,11.0,1639.0,1,149.0,0.0,1.0,1.0,0.0,0,,0.0,0.007534246575342466,0.0,0.0
10122,40,Кино - DVD,6,6,5,6.0,894.0,1,149.0,0.0,1.0,1.0,0.0,0,,0.0,0.00410958904109589,0.0,0.0
10123,40,Кино - DVD,1,1,1,1.0,58.0,1,58.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10125,37,Кино - Blu-Ray,25,11,14,26.0,3820.68,3,147.4632,5.462586,1.0,2.0,0.0,1,0.0,0.037043724,0.017123287671232876,0.04,0.0
10127,40,Кино - DVD,58,17,35,61.0,9081.55,2,148.87155,0.9782325,1.0,2.0,0.0,14,0.0,0.0065709837,0.03972602739726028,0.2413793103448276,0.0
10128,59,Музыка - Музыкальное видео,9,7,7,9.0,562.0,2,62.444443,13.333333,1.0,1.0,0.0,0,,0.21352313,0.0061643835616438354,0.0,0.0
10129,59,Музыка - Музыкальное видео,6,5,6,6.0,588.0,1,98.0,0.0,1.0,1.0,0.0,0,,0.0,0.00410958904109589,0.0,0.0
1013,67,Подарки - Развитие,54,15,32,66.0,19734.0,1,299.0,0.0,1.0,3.0,0.0,10,0.0,0.0,0.036986301369863014,0.18518518518518517,0.0
10130,59,Музыка - Музыкальное видео,2,2,2,2.0,56.0,1,28.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10133,60,Музыка - Подарочные издания,6,5,5,6.0,16194.0,1,2699.0,0.0,1.0,1.0,0.0,0,,0.0,0.00410958904109589,0.0,0.0
10134,55,Музыка - CD локального производства,2,2,2,2.0,398.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10135,55,Музыка - CD локального производства,2,2,2,2.0,378.0,1,189.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10136,55,Музыка - CD локального производства,3,1,3,3.0,567.0,1,189.0,0.0,1.0,1.0,0.0,0,,0.0,0.002054794520547945,0.0,0.0
10137,55,Музыка - CD локального производства,2,2,2,2.0,398.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10138,55,Музыка - CD локального производства,38,14,31,38.0,6626.55,3,174.38289,33.5536,1.0,1.0,0.0,3,0.6666666666666666,0.19241337,0.026027397260273973,0.07894736842105263,0.0
10139,55,Музыка - CD локального производства,2,2,2,2.0,398.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
1014,67,Подарки - Развитие,8,8,3,8.0,2392.0,1,299.0,0.0,1.0,1.0,0.0,0,,0.0,0.005479452054794521,0.0,0.0
10140,55,Музыка - CD локального производства,55,13,41,56.0,10225.05,3,182.29181,37.65192,1.0,2.0,0.0,16,0.3125,0.20654751,0.03767123287671233,0.2909090909090909,0.0
10141,55,Музыка - CD локального производства,46,14,36,47.0,8455.05,4,179.47934,43.08607,1.0,2.0,0.0,5,0.6,0.24006145,0.031506849315068496,0.10869565217391304,0.0
10142,55,Музыка - CD локального производства,44,13,34,44.0,7548.0,3,171.54546,37.88689,1.0,1.0,0.0,8,0.5,0.22085628,0.030136986301369864,0.18181818181818182,0.0
10143,55,Музыка - CD локального производства,38,14,24,39.0,83811.0,1,2149.0,0.0,1.0,2.0,0.0,0,,0.0,0.026027397260273973,0.0,0.0
10144,58,Музыка - Винил,11,6,9,12.0,88788.0,1,7399.0,0.0,1.0,2.0,0.0,2,0.0,0.0,0.007534246575342466,0.18181818181818182,0.0
10145,60,Музыка - Подарочные издания,7,4,7,7.0,39893.0,1,5699.0,0.0,1.0,1.0,0.0,0,,0.0,0.004794520547945206,0.0,0.0
10146,60,Музыка - Подарочные издания,21,9,17,22.0,92168.0,2,4189.0,45.825756,1.0,2.0,0.0,5,0.0,0.010939546,0.014383561643835616,0.23809523809523808,0.0
10147,59,Музыка - Музыкальное видео,4,4,4,4.0,1142.0,2,285.5,25.0,1.0,1.0,0.0,0,,0.087565675,0.0027397260273972603,0.0,0.0
10148,55,Музыка - CD локального производства,70,18,24,71.0,14129.0,1,199.0,0.0,1.0,2.0,1.0,18,0.0,0.0,0.04794520547945205,0.2571428571428571,0.013888888888888888
10149,60,Музыка - Подарочные издания,16,8,12,16.0,63984.0,1,3999.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.010958904109589041,0.0625,0.0
1015,67,Подарки - Развитие,310,20,67,572.0,256602.2,8,448.32742,7.336423,1.0,22.0,0.0,230,0.004347826086956522,0.016363984,0.21232876712328766,0.7419354838709677,0.0
10150,58,Музыка - Винил,7,5,6,7.0,8743.0,1,1249.0,0.0,1.0,1.0,0.0,0,,0.0,0.004794520547945206,0.0,0.0
10151,58,Музыка - Винил,2,1,2,2.0,3498.0,1,1749.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10152,58,Музыка - Винил,1,1,1,1.0,1249.0,1,1249.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10155,58,Музыка - Винил,14,6,12,15.0,110985.0,1,7399.0,0.0,1.0,2.0,0.0,1,0.0,0.0,0.009589041095890411,0.07142857142857142,0.0
10158,55,Музыка - CD локального производства,169,19,65,179.0,53521.0,1,299.0,0.0,1.0,3.0,0.0,93,0.0,0.0,0.11575342465753424,0.5502958579881657,0.0
10159,55,Музыка - CD локального производства,159,20,65,165.0,32784.6,3,198.68301,3.2612264,1.0,2.0,0.0,83,0.012048192771084338,0.016414218,0.10890410958904109,0.5220125786163522,0.0
1016,67,Подарки - Развитие,166,18,63,200.0,59800.0,1,299.0,0.0,1.0,3.0,0.0,99,0.0,0.0,0.1136986301369863,0.5963855421686747,0.0
10160,55,Музыка - CD локального производства,172,19,66,178.0,35372.25,3,198.73969,3.0561366,1.0,2.0,0.0,97,0.0,0.015377586,0.1178082191780822,0.563953488372093,0.0
10161,55,Музыка - CD локального производства,90,20,48,92.0,18298.05,2,198.88945,1.0488218,1.0,2.0,0.0,25,0.0,0.005273391,0.06164383561643835,0.2777777777777778,0.0
10162,58,Музыка - Винил,10,4,9,11.0,19339.0,2,1759.0,31.622776,1.0,2.0,0.0,0,,0.017977702,0.00684931506849315,0.0,0.0
10163,55,Музыка - CD локального производства,13,7,13,13.0,18837.0,1,1449.0,0.0,1.0,1.0,0.0,0,,0.0,0.008904109589041096,0.0,0.0
10164,55,Музыка - CD локального производства,123,20,57,127.0,25273.0,1,199.0,0.0,1.0,2.0,0.0,49,0.0,0.0,0.08424657534246575,0.3983739837398374,0.0
10165,55,Музыка - CD локального производства,1,1,1,1.0,449.0,1,449.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10166,58,Музыка - Винил,9,4,7,9.0,11241.0,1,1249.0,0.0,1.0,1.0,0.0,0,,0.0,0.0061643835616438354,0.0,0.0
10167,59,Музыка - Музыкальное видео,14,7,12,14.0,3922.0,2,280.14285,24.862257,1.0,1.0,0.0,0,,0.0887485,0.009589041095890411,0.0,0.0
10168,55,Музыка - CD локального производства,15,10,11,15.0,2985.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.010273972602739725,0.0,0.0
10169,40,Кино - DVD,6,6,6,6.0,1188.0,4,198.0,63.245552,1.0,1.0,0.0,0,,0.31942198,0.00410958904109589,0.0,0.0
1017,67,Подарки - Развитие,178,20,67,217.0,69812.5,4,321.91995,25.142803,1.0,3.0,0.0,107,0.0,0.078102656,0.12191780821917808,0.601123595505618,0.0
10170,37,Кино - Blu-Ray,2,2,2,2.0,847.0,2,423.5,177.4838,1.0,1.0,0.0,0,,0.41908807,0.0013698630136986301,0.0,0.0
10171,40,Кино - DVD,65,15,41,69.0,10222.0,3,148.0923,6.387789,1.0,2.0,0.0,22,0.045454545454545456,0.043133836,0.04452054794520548,0.3384615384615385,0.0
10172,37,Кино - Blu-Ray,36,14,27,39.0,5811.0,1,149.0,0.0,1.0,3.0,0.0,8,0.0,0.0,0.024657534246575342,0.2222222222222222,0.0
10173,40,Кино - DVD,11,8,8,11.0,4389.0,1,399.0,0.0,1.0,1.0,0.0,0,,0.0,0.007534246575342466,0.0,0.0
10174,37,Кино - Blu-Ray,5,5,4,5.0,2745.0,1,549.0,0.0,1.0,1.0,0.0,0,,0.0,0.003424657534246575,0.0,0.0
10175,37,Кино - Blu-Ray,33,13,26,34.0,5036.2,2,148.09697,5.187515,1.0,2.0,0.0,4,0.0,0.035027824,0.022602739726027398,0.12121212121212122,0.0
10178,37,Кино - Blu-Ray,11,8,9,11.0,909.0,5,82.63636,44.949467,1.0,1.0,0.0,0,,0.543943,0.007534246575342466,0.0,0.0
10179,40,Кино - DVD,10,6,10,10.0,2585.0,3,258.5,46.430954,1.0,1.0,0.0,0,,0.17961684,0.00684931506849315,0.0,0.0
1018,67,Подарки - Развитие,80,17,44,93.0,27792.0,2,298.8125,1.677051,1.0,4.0,1.0,33,0.0,0.0056123855,0.0547945205479452,0.4125,0.010638297872340425
10180,43,Книги - Аудиокниги,79,14,51,80.0,19869.8,2,248.36456,5.647941,1.0,2.0,0.0,35,0.0,0.022740528,0.05410958904109589,0.4430379746835443,0.0
10181,43,Книги - Аудиокниги,23,10,16,23.0,5727.0,1,249.0,0.0,1.0,1.0,0.0,0,,0.0,0.015753424657534248,0.0,0.0
10182,43,Книги - Аудиокниги,13,7,11,13.0,3237.0,1,249.0,0.0,1.0,1.0,0.0,0,,0.0,0.008904109589041096,0.0,0.0
10183,43,Книги - Аудиокниги,45,11,37,46.0,11404.2,2,247.89334,7.423746,1.0,2.0,0.0,15,0.0,0.02994734,0.030821917808219176,0.3333333333333333,0.0
10184,43,Книги - Аудиокниги,79,13,44,83.0,49366.5,3,594.5633,14.297742,1.0,2.0,0.0,37,0.0,0.024047468,0.05410958904109589,0.46835443037974683,0.0
10185,57,Музыка - MP3,56,10,38,58.0,17342.0,1,299.0,0.0,1.0,2.0,0.0,22,0.0,0.0,0.038356164383561646,0.39285714285714285,0.0
