product_code,category,n_obs,positive_obs,total_units,mean_units,n_stores,n_weeks,unique_prices,mean_price,std_price,promo_rate,positive_rate,price_cv
FOODS_3_407,FOODS_3,2770,2745,58079.0,20.967148,10,277,5,2.984722,0.0380712,0.018772563176895306,0.9909747292418772,0.0127553595
HOUSEHOLD_1_304,HOUSEHOLD_1,1852,1835,77273.0,41.724083,10,196,4,2.09,0.15335537,0.0,0.9908207343412527,0.073375784
HOUSEHOLD_1_516,HOUSEHOLD_1,2770,2744,59647.0,21.533213,10,277,4,1.9438448,0.05097091,0.003971119133574007,0.9906137184115523,0.026221696
HOUSEHOLD_1_478,HOUSEHOLD_1,2770,2744,34753.0,12.546209,10,277,4,2.653888,0.061849505,0.0,0.9906137184115523,0.023305243
HOUSEHOLD_1_294,HOUSEHOLD_1,2737,2710,72743.0,26.57764,10,277,4,1.9842675,0.07200388,0.00036536353671903543,0.9901351845085861,0.036287386
HOUSEHOLD_1_474,HOUSEHOLD_1,2770,2741,77799.0,28.08628,10,277,1,0.97,0.0,0.0,0.9895306859205776,0.0
FOODS_1_099,FOODS_1,1649,1631,65511.0,39.727715,10,165,2,0.97526985,0.012920246,0.0,0.989084293511219,0.013247868
FOODS_3_304,FOODS_3,2770,2739,52394.0,18.9148,10,277,7,4.330271,0.27478495,0.01660649819494585,0.9888086642599277,0.06345676
FOODS_3_561,FOODS_3,1467,1450,30215.0,20.596455,10,147,4,2.976612,0.075622305,0.0013633265167007499,0.9884117246080436,0.025405496
FOODS_3_099,FOODS_3,2760,2728,216219.0,78.34022,10,276,4,2.4961448,0.038491763,0.0,0.9884057971014493,0.015420485
HOUSEHOLD_2_389,HOUSEHOLD_2,946,935,13689.0,14.470402,10,95,1,1.97,0.0,0.0,0.9883720930232558,0.0
FOODS_1_161,FOODS_1,2769,2736,88618.0,32.003613,10,277,4,0.9748357,0.0174219,0.0,0.9880823401950163,0.017871626
HOBBIES_1_323,HOBBIES_1,2762,2729,35297.0,12.779508,10,277,7,5.07151,0.26447213,0.014120202751629254,0.9880521361332368,0.0521486
HOBBIES_1_014,HOBBIES_1,2402,2373,38060.0,15.845129,10,242,2,1.0049542,0.06221458,0.00041631973355537054,0.9879267277268943,0.061907873
FOODS_3_127,FOODS_3,2680,2646,44264.0,16.516418,10,277,4,3.5175374,0.17107321,0.0,0.9873134328358208,0.04863437
HOUSEHOLD_1_087,HOUSEHOLD_1,2770,2733,25387.0,9.164982,10,277,5,4.320083,0.19433008,0.003971119133574007,0.9866425992779784,0.04498295
FOODS_3_363,FOODS_3,2671,2635,80273.0,30.053537,10,277,6,2.4476264,0.17924117,0.001497566454511419,0.9865219019093973,0.07323061
HOUSEHOLD_2_490,HOUSEHOLD_2,889,877,9397.0,10.570304,10,89,1,3.48,0.0,0.0,0.9865016872890888,0.0
FOODS_3_144,FOODS_3,2754,2716,38870.0,14.114016,10,277,6,1.9015759,0.048260562,0.0,0.9862018881626725,0.025379246
HOUSEHOLD_1_071,HOUSEHOLD_1,1809,1784,36911.0,20.40409,10,196,5,2.0924654,0.15483682,0.000552791597567717,0.986180210060807,0.07399731
HOUSEHOLD_1_429,HOUSEHOLD_1,1150,1134,39049.0,33.95565,10,115,3,2.9578958,0.034597084,0.0,0.9860869565217392,0.011696519
FOODS_3_282,FOODS_3,1474,1453,190809.0,129.4498,10,149,3,2.5041654,0.020916263,0.0006784260515603799,0.985753052917232,0.008352588
FOODS_3_469,FOODS_3,2770,2730,67862.0,24.498917,10,277,5,6.159303,0.24709001,0.047292418772563176,0.9855595667870036,0.040116552
FOODS_1_218,FOODS_1,2770,2730,237476.0,85.73141,10,277,4,0.97639716,0.014949577,0.0,0.9855595667870036,0.015310959
HOUSEHOLD_1_038,HOUSEHOLD_1,2770,2730,21557.0,7.7823105,10,277,4,5.1689816,0.14163017,0.005415162454873646,0.9855595667870036,0.027400015
FOODS_3_702,FOODS_3,2770,2730,126903.0,45.81336,10,277,3,2.9943395,0.06247813,0.04693140794223827,0.9855595667870036,0.020865412
HOUSEHOLD_1_164,HOUSEHOLD_1,1157,1140,9758.0,8.433881,10,118,3,2.8815904,0.06541508,0.000864304235090752,0.9853068280034573,0.022701032
FOODS_3_035,FOODS_3,2614,2575,20432.0,7.8163733,10,277,8,3.8664918,0.14814109,0.0007651109410864575,0.9850803366488141,0.03831408
HOUSEHOLD_1_319,HOUSEHOLD_1,2747,2706,57315.0,20.86458,10,277,4,1.9439024,0.04783121,0.0036403349108117948,0.9850746268656716,0.024605768
HOBBIES_1_337,HOBBIES_1,2770,2728,41049.0,14.819134,10,277,1,3.67,0.0,0.0,0.9848375451263538,0.0
HOUSEHOLD_1_198,HOUSEHOLD_1,2761,2719,111018.0,40.209343,10,277,2,0.97734153,0.004418621,0.0,0.9847881202462876,0.004521061
HOUSEHOLD_1_149,HOUSEHOLD_1,2769,2726,45118.0,16.293968,10,277,2,0.97013724,0.0011636107,0.0,0.9844709281328999,0.001199429
HOUSEHOLD_1_215,HOUSEHOLD_1,2758,2715,20409.0,7.3999276,10,277,7,2.20095,0.087611124,0.009789702683103698,0.9844089920232052,0.03980605
HOUSEHOLD_1_110,HOUSEHOLD_1,1854,1825,150318.0,81.07767,10,196,3,3.6385975,0.19225948,0.0,0.9843581445523193,0.052838895
FOODS_3_820,FOODS_3,2545,2505,31054.0,12.201964,10,277,4,1.9702908,0.061080366,0.0,0.9842829076620825,0.031000687
FOODS_3_253,FOODS_3,1587,1562,13821.0,8.708884,10,168,1,1.98,0.0,0.0,0.984247006931317,0.0
FOODS_3_439,FOODS_3,1393,1371,22251.0,15.973438,10,140,3,2.974537,0.050603583,0.0007178750897343862,0.9842067480258435,0.017012255
FOODS_3_674,FOODS_3,2770,2726,37370.0,13.490974,10,277,4,2.9783177,0.034812402,0.0036101083032490976,0.984115523465704,0.011688612
HOUSEHOLD_2_342,HOUSEHOLD_2,1644,1617,20619.0,12.541971,10,183,1,0.97,0.0,0.0,0.9835766423357665,0.0
HOUSEHOLD_1_151,HOUSEHOLD_1,2592,2549,98210.0,37.88966,10,260,5,0.9251891,0.04144769,0.06018518518518518,0.9834104938271605,0.044799156
HOUSEHOLD_1_390,HOUSEHOLD_1,820,806,6543.0,7.979268,10,84,2,1.8676219,0.021592917,0.0,0.9829268292682927,0.011561718
HOUSEHOLD_1_075,HOUSEHOLD_1,2690,2644,39531.0,14.695539,10,272,3,2.72832,0.051391225,0.0011152416356877324,0.9828996282527881,0.018836217
FOODS_3_087,FOODS_3,1573,1546,39273.0,24.966942,10,158,2,2.504196,0.015306599,0.0,0.9828353464717101,0.006112381
HOUSEHOLD_1_055,HOUSEHOLD_1,2770,2722,40435.0,14.597473,10,277,8,3.9280398,0.07437295,0.005054151624548736,0.9826714801444043,0.018933859
FOODS_3_449,FOODS_3,2763,2715,77109.0,27.90771,10,277,1,1.9800001,0.0,0.0,0.9826275787187839,0.0
HOBBIES_1_416,HOBBIES_1,2565,2520,18901.0,7.368811,10,257,4,4.8309083,0.2191376,0.0304093567251462,0.9824561403508771,0.04536157
HOUSEHOLD_2_409,HOUSEHOLD_2,2578,2532,19641.0,7.6186967,10,267,5,3.9421995,0.040093157,0.030256012412723042,0.9821567106283942,0.010170251
FOODS_3_596,FOODS_3,2770,2720,32656.0,11.789169,10,277,7,2.878419,0.15908901,0.009386281588447653,0.9819494584837545,0.055269584
HOUSEHOLD_1_107,HOUSEHOLD_1,2139,2100,21956.0,10.264609,10,215,1,3.48,0.0,0.0,0.9817671809256662,0.0
HOUSEHOLD_1_277,HOUSEHOLD_1,2009,1972,108395.0,53.954704,10,202,3,0.9762718,0.007077261,0.0,0.9815828770532603,0.007249273
FOODS_3_604,FOODS_3,1409,1383,13905.0,9.868701,10,142,4,2.5038111,0.028683633,0.0014194464158978,0.9815471965933286,0.011455989
FOODS_3_230,FOODS_3,2491,2445,49416.0,19.837816,10,277,3,3.5496025,0.14139962,0.0,0.9815335206744279,0.03983534
HOBBIES_1_015,HOBBIES_1,2767,2714,85532.0,30.911457,10,277,5,0.7080376,0.018232103,0.04734369353089989,0.9808456812432237,0.02575019
FOODS_3_765,FOODS_3,2763,2710,21561.0,7.8034744,10,277,10,2.8775353,0.1642142,0.010857763300760043,0.9808179515019906,0.057067655
HOUSEHOLD_1_153,HOUSEHOLD_1,1698,1665,21077.0,12.412839,10,183,1,1.97,0.0,0.0,0.980565371024735,0.0
HOUSEHOLD_1_338,HOUSEHOLD_1,1539,1509,25652.0,16.667967,10,154,2,3.9548147,0.019322416,0.0,0.9805068226120858,0.0048857955
FOODS_3_450,FOODS_3,2705,2651,21283.0,7.868022,10,277,8,3.0420446,0.17179587,0.043992606284658044,0.9800369685767097,0.056473818
HOUSEHOLD_1_515,HOUSEHOLD_1,2050,2009,22389.0,10.921463,10,206,9,2.4647708,0.06661202,0.003902439024390244,0.98,0.027025646
HOBBIES_1_103,HOBBIES_1,2770,2714,71938.0,25.970398,10,277,6,0.7081372,0.01916446,0.047653429602888084,0.9797833935018051,0.0270632
FOODS_3_103,FOODS_3,2766,2710,21000.0,7.5921907,10,277,6,3.2549098,0.10608728,0.036153289949385395,0.9797541576283442,0.032593004
HOUSEHOLD_1_234,HOUSEHOLD_1,2770,2712,123164.0,44.46354,10,277,1,0.97,0.0,0.0,0.9790613718411553,0.0
HOUSEHOLD_1_243,HOUSEHOLD_1,2770,2712,44522.0,16.072924,10,277,1,1.9699999,0.0,0.0,0.9790613718411553,0.0
HOBBIES_1_228,HOBBIES_1,2475,2423,19613.0,7.9244447,10,248,1,6.87,0.0,0.0,0.978989898989899,0.0
FOODS_3_559,FOODS_3,2770,2711,21607.0,7.800361,10,277,8,2.877343,0.16318125,0.010469314079422382,0.9787003610108304,0.05671248
FOODS_3_034,FOODS_3,1432,1401,17808.0,12.435754,10,144,3,2.504253,0.020985499,0.0006983240223463687,0.9783519553072626,0.008379944
FOODS_3_203,FOODS_3,2770,2710,37359.0,13.487003,10,277,4,4.478989,0.1457737,0.04512635379061372,0.9783393501805054,0.032546114
FOODS_3_804,FOODS_3,2713,2654,204558.0,75.39919,10,277,1,1.88,0.0,0.0,0.9782528566162919,0.0
FOODS_3_562,FOODS_3,2406,2353,40837.0,16.972984,10,277,2,4.9743056,0.023177776,0.0,0.9779717373233583,0.0046595
HOUSEHOLD_1_369,HOUSEHOLD_1,2210,2160,23409.0,10.592308,10,221,5,3.6908867,0.11002339,0.0009049773755656109,0.9773755656108597,0.029809473
HOUSEHOLD_1_503,HOUSEHOLD_1,2770,2707,40573.0,14.647292,10,277,5,1.0007473,0.12602077,0.004693140794223827,0.9772563176895307,0.12592667
HOUSEHOLD_1_514,HOUSEHOLD_1,1853,1810,79575.0,42.943874,10,196,3,3.6384618,0.19199237,0.0,0.9767943874797625,0.052767456
FOODS_3_064,FOODS_3,2110,2061,78098.0,37.01327,10,260,7,1.0796635,0.09990573,0.01042654028436019,0.9767772511848342,0.09253413
HOBBIES_1_134,HOBBIES_1,2408,2352,56244.0,23.357143,10,241,6,3.6166859,0.34453768,0.015780730897009966,0.9767441860465116,0.09526337
FOODS_3_535,FOODS_3,2770,2705,21653.0,7.8169675,10,277,4,6.1562886,0.23954767,0.04693140794223827,0.9765342960288809,0.038911052
FOODS_3_113,FOODS_3,2768,2703,84448.0,30.50867,10,277,6,1.147211,0.14381208,0.04696531791907514,0.9765173410404624,0.125358
HOUSEHOLD_1_082,HOUSEHOLD_1,2170,2119,21534.0,9.923502,10,217,1,3.48,0.0,0.0,0.9764976958525345,0.0
FOODS_3_818,FOODS_3,2013,1965,36440.0,18.102335,10,212,1,2.98,0.0,0.0,0.9761549925484352,0.0
FOODS_2_112,FOODS_2,1461,1425,24422.0,16.715948,10,161,12,3.2026832,0.20523237,0.06023271731690623,0.9753593429158111,0.064081386
HOBBIES_1_423,HOBBIES_1,2227,2172,14039.0,6.3039966,10,224,4,7.6957617,0.18523775,0.0058374494836102376,0.9753030983385721,0.024070099
HOUSEHOLD_1_540,HOUSEHOLD_1,1846,1800,36523.0,19.78494,10,195,2,1.6741929,0.08391035,0.0,0.9750812567713976,0.050119884
HOUSEHOLD_2_118,HOUSEHOLD_2,1780,1735,9558.0,5.369663,10,182,3,3.4191236,0.064767644,0.0011235955056179776,0.9747191011235955,0.018942762
FOODS_1_184,FOODS_1,2305,2246,81202.0,35.228634,10,231,2,0.99985677,0.006873508,0.0004338394793926247,0.9744034707158351,0.0068744924
FOODS_3_400,FOODS_3,2770,2699,33361.0,12.043682,10,277,4,2.9608123,0.06766251,0.00036101083032490973,0.9743682310469314,0.022852683
HOUSEHOLD_1_083,HOUSEHOLD_1,2764,2693,129151.0,46.72612,10,277,3,0.9771708,0.010096804,0.000361794500723589,0.9743125904486252,0.0103326915
FOODS_3_291,FOODS_3,2632,2564,23707.0,9.007219,10,272,4,2.686782,0.1368898,0.00037993920972644377,0.9741641337386018,0.050949354
FOODS_2_050,FOODS_2,848,826,16778.0,19.785378,10,89,1,1.0,0.0,0.0,0.9740566037735849,0.0
HOUSEHOLD_1_282,HOUSEHOLD_1,2056,2002,14839.0,7.2174125,10,206,3,3.8833075,0.1401034,0.0,0.9737354085603113,0.036078367
FOODS_3_372,FOODS_3,1064,1036,27558.0,25.900375,10,108,1,3.28,0.0,0.0,0.9736842105263158,0.0
HOUSEHOLD_1_027,HOUSEHOLD_1,2767,2694,52712.0,19.050236,10,277,10,5.652873,0.31624654,0.0187929165160824,0.9736176364293458,0.05594439
FOODS_3_201,FOODS_3,2756,2683,45766.0,16.605951,10,276,4,2.4940348,0.05407103,0.0,0.9735123367198839,0.021680143
HOUSEHOLD_1_328,HOUSEHOLD_1,1131,1101,23253.0,20.55968,10,120,3,4.7197967,0.20491509,0.0,0.9734748010610079,0.043416083
HOUSEHOLD_1_349,HOUSEHOLD_1,1162,1131,16251.0,13.98537,10,117,3,2.9495354,0.034194913,0.10068846815834767,0.9733218588640276,0.011593322
FOODS_2_286,FOODS_2,1031,1003,15000.0,14.548982,10,109,2,1.5652765,0.06816526,0.0446168768186227,0.9728419010669254,0.043548383
FOODS_2_384,FOODS_2,2390,2325,36139.0,15.12092,10,277,6,2.1770294,0.20383196,0.0,0.9728033472803347,0.09362848
FOODS_3_169,FOODS_3,2144,2085,25949.0,12.103078,10,261,2,3.979776,0.010366421,0.0004664179104477612,0.972481343283582,0.0026047751
HOUSEHOLD_1_511,HOUSEHOLD_1,1962,1908,19413.0,9.894495,10,199,6,6.0048623,0.12980005,0.0015290519877675841,0.9724770642201835,0.021615826
FOODS_3_730,FOODS_3,2770,2693,27309.0,9.858845,10,277,3,4.813863,0.33176786,0.0,0.972202166064982,0.06891926
HOUSEHOLD_1_096,HOUSEHOLD_1,1850,1798,74736.0,40.39784,10,196,3,3.638827,0.1922618,0.0,0.9718918918918918,0.052836202
FOODS_2_222,FOODS_2,1991,1935,64752.0,32.52235,10,200,6,2.5121548,0.04797535,0.004018081366147665,0.9718734304369664,0.019097291
HOUSEHOLD_1_361,HOUSEHOLD_1,1940,1885,27610.0,14.231958,10,197,2,1.8549588,0.053667437,0.0,0.9716494845360825,0.028931877
FOODS_3_109,FOODS_3,2770,2691,140351.0,50.668232,10,277,2,0.9999566,0.0022800344,0.00036101083032490973,0.9714801444043322,0.0022801333
HOUSEHOLD_2_510,HOUSEHOLD_2,2578,2504,18998.0,7.3692784,10,267,3,3.9427464,0.027980493,0.0321955003878976,0.9712955779674166,0.0070967013
FOODS_3_814,FOODS_3,2428,2358,40472.0,16.668863,10,243,3,1.7858032,0.17071112,0.00041186161449752884,0.971169686985173,0.09559347
FOODS_2_322,FOODS_2,2390,2321,44928.0,18.798326,10,277,10,2.8720503,0.12926324,0.03765690376569038,0.9711297071129708,0.045007303
FOODS_3_502,FOODS_3,1484,1441,17593.0,11.855122,10,151,2,2.5044475,0.015723638,0.0,0.9710242587601078,0.006278286
HOUSEHOLD_1_141,HOUSEHOLD_1,2770,2689,27521.0,9.935379,10,277,5,1.7920613,0.042586695,0.047292418772563176,0.9707581227436823,0.023764083
HOUSEHOLD_1_381,HOUSEHOLD_1,2770,2688,18072.0,6.5241876,10,277,9,4.8321877,0.25134295,0.0010830324909747292,0.9703971119133574,0.05201432
FOODS_1_208,FOODS_1,2191,2126,25970.0,11.853035,10,220,2,1.8514743,0.08809281,0.0,0.970333181195801,0.047579817
FOODS_3_526,FOODS_3,2770,2687,87395.0,31.55054,10,277,2,1.979769,0.008596996,0.0007220216606498195,0.9700361010830325,0.0043424238
FOODS_3_258,FOODS_3,2336,2266,60343.0,25.831764,10,235,7,1.6091267,0.15586385,0.036815068493150686,0.9700342465753424,0.09686238
HOUSEHOLD_1_188,HOUSEHOLD_1,2458,2384,21707.0,8.831163,10,246,2,3.9939137,0.071384236,0.010577705451586655,0.9698942229454841,0.017873256
HOBBIES_1_387,HOBBIES_1,1520,1474,41233.0,27.126974,10,152,9,1.0163224,0.051212706,0.007236842105263158,0.9697368421052631,0.050390217
HOUSEHOLD_1_434,HOUSEHOLD_1,2770,2686,42696.0,15.413718,10,277,8,3.9269927,0.09764039,0.009386281588447653,0.9696750902527076,0.024863908
FOODS_3_793,FOODS_3,2770,2686,30141.0,10.8812275,10,277,5,2.9785018,0.030686632,0.0036101083032490976,0.9696750902527076,0.010302708
FOODS_3_462,FOODS_3,2770,2686,194325.0,70.15343,10,277,1,1.0,0.0,0.0,0.9696750902527076,0.0
HOUSEHOLD_1_121,HOUSEHOLD_1,1701,1649,13382.0,7.867137,10,171,5,2.4763963,0.06455645,0.003527336860670194,0.969429747207525,0.026068706
HOUSEHOLD_1_220,HOUSEHOLD_1,1666,1615,18373.0,11.028212,10,167,2,1.8875631,0.06890697,0.07803121248499399,0.9693877551020408,0.036505785
FOODS_3_121,FOODS_3,1796,1741,41864.0,23.309576,10,180,3,2.978352,0.035211433,0.0033407572383073497,0.9693763919821826,0.011822455
HOUSEHOLD_1_342,HOUSEHOLD_1,1171,1135,8875.0,7.5789924,10,118,4,17.914953,0.7211596,0.0034158838599487617,0.9692570452604612,0.040254615
FOODS_3_053,FOODS_3,1517,1470,16007.0,10.551747,10,210,2,3.979143,0.03337725,0.0006591957811470006,0.9690177982860909,0.00838805
HOBBIES_1_254,HOBBIES_1,2770,2684,88533.0,31.961372,10,277,6,0.70883393,0.020412277,0.047292418772563176,0.9689530685920578,0.028796982
HOUSEHOLD_1_238,HOUSEHOLD_1,1706,1653,12176.0,7.137163,10,171,5,2.4740798,0.08771323,0.004689331770222743,0.9689331770222743,0.03545287
HOUSEHOLD_1_226,HOUSEHOLD_1,1150,1114,12969.0,11.277391,10,115,3,2.9594436,0.033382576,0.0,0.9686956521739131,0.011280018
FOODS_3_361,FOODS_3,1596,1546,12802.0,8.021303,10,168,3,1.9792608,0.021177378,0.0012531328320802004,0.968671679197995,0.01069964
FOODS_2_293,FOODS_2,2448,2371,54142.0,22.11683,10,277,8,3.906989,0.2078147,0.0,0.9685457516339869,0.053190496
HOUSEHOLD_1_418,HOUSEHOLD_1,2079,2013,119245.0,57.356903,10,208,4,0.9763925,0.007004194,0.0,0.9682539682539683,0.0071735433
FOODS_3_327,FOODS_3,2504,2424,75477.0,30.142572,10,255,4,3.1718092,0.1111558,0.057108626198083066,0.9680511182108626,0.03504492
FOODS_3_480,FOODS_3,2741,2653,22400.0,8.1722,10,277,8,2.667439,0.30761668,0.0018241517694272164,0.967894928858081,0.11532286
HOUSEHOLD_1_425,HOUSEHOLD_1,2770,2681,40293.0,14.546209,10,277,5,1.9662166,0.058689646,0.004332129963898917,0.967870036101083,0.029849024
FOODS_3_639,FOODS_3,1182,1144,15579.0,13.180203,10,119,3,1.9758205,0.064150505,0.004230118443316413,0.9678510998307953,0.03246778
HOBBIES_1_074,HOBBIES_1,2674,2588,26861.0,10.045251,10,277,2,3.6673748,0.055369966,0.002243829468960359,0.9678384442782348,0.015097984
FOODS_3_734,FOODS_3,2760,2671,99613.0,36.091667,10,277,8,1.6303152,0.19961871,0.011231884057971014,0.9677536231884057,0.12244179
FOODS_3_807,FOODS_3,2770,2680,59532.0,21.491697,10,277,2,1.9798846,0.0060800924,0.00036101083032490973,0.9675090252707581,0.0030709326
FOODS_1_139,FOODS_1,1872,1811,32143.0,17.170406,10,203,1,0.98,0.0,0.0,0.9674145299145299,0.0
HOUSEHOLD_1_169,HOUSEHOLD_1,1777,1719,41391.0,23.292627,10,196,3,2.9601014,0.031217596,0.05852560495216657,0.9673607203151379,0.010546124
HOBBIES_1_327,HOBBIES_1,2017,1951,10727.0,5.3182945,10,203,3,7.8482156,0.11081188,0.04015865146256817,0.9672781358453149,0.014119373
FOODS_3_376,FOODS_3,2767,2676,231082.0,83.51355,10,277,1,1.0,0.0,0.0,0.9671123960968558,0.0
FOODS_3_652,FOODS_3,2606,2520,63367.0,24.31581,10,262,2,3.9794476,0.016279757,0.0011511895625479663,0.9669992325402916,0.004090959
